dsp clock from the systime interface: 546045534479
sequence_number, timestamp(us), updated_timestamp(us), acc_x, acc_y, acc_z, ang_x, ang_y, ang_z, temperature_C
257977, 541071588, 546034705, -0.18, -0.19, -0.21, -0.20, 0.12, 0.04, 42.27
257978, 541073572, 546036689, -0.19, -0.20, 1.35, 0.11, -0.16, -0.02, 42.24
257979, 541075586, 546038703, 0.25, -0.09, -0.04, 0.09, -0.27, -0.06, 42.26
257980, 541077570, 546040687, 0.44, 0.19, 1.66, 0.19, -0.23, -0.06, 42.24
257981, 541079584, 546042701, 0.16, 0.38, 1.19, 0.08, -0.12, 0.01, 42.22
257982, 541081568, 546044685, 0.02, -0.01, 1.16, 0.04, 0.24, 0.05, 42.24
257983, 541083582, 546046699, -0.18, 0.12, 1.68, -0.11, 0.21, 0.06, 42.27
257984, 541085566, 546048683, -0.24, -0.34, 0.13, -0.20, 0.07, 0.03, 42.22
257985, 541087581, 546050698, -0.06, -0.20, 1.41, 0.10, -0.26, -0.03, 42.21
257986, 541089565, 546052682, 0.38, -0.20, -0.21, 0.17, -0.36, -0.07, 42.21
257987, 541091579, 546054696, 0.36, 0.37, 2.03, 0.24, -0.27, -0.03, 42.16
257988, 541093563, 546056680, 0.10, 0.38, 0.42, 0.06, 0.01, 0.04, 42.27
257989, 541095577, 546058694, 0.05, 0.16, 1.93, 0.05, 0.40, 0.05, 42.23
257990, 541097561, 546060678, -0.16, 0.14, 1.04, -0.16, 0.21, 0.04, 42.25
257991, 541099575, 546062692, -0.24, -0.37, 0.56, -0.15, -0.07, 0.00, 42.27
257992, 541101559, 546064676, -0.12, -0.41, 1.40, 0.07, -0.35, -0.06, 42.25
257993, 541103574, 546066691, 0.48, -0.30, -0.34, 0.18, -0.27, -0.07, 42.21
257994, 541105557, 546068674, 0.16, 0.41, 1.98, 0.24, -0.20, -0.00, 42.21
257995, 541107572, 546070689, 0.23, 0.47, 0.48, 0.12, 0.02, 0.07, 42.23
257996, 541109586, 546072703, 0.05, 0.41, 2.51, 0.06, 0.34, 0.07, 42.22
257997, 541111570, 546074687, -0.13, 0.08, 0.16, -0.23, 0.18, 0.04, 42.22
257998, 541113584, 546076701, -0.18, -0.30, 1.35, -0.10, -0.05, -0.02, 42.20
257999, 541115568, 546078685, -0.15, -0.51, 1.11, 0.05, -0.28, -0.09, 42.24
258000, 541117583, 546080700, 0.47, -0.37, -0.50, 0.18, -0.17, -0.09, 42.22
258001, 541119567, 546082684, 0.02, 0.39, 1.95, 0.24, -0.25, -0.01, 42.22
258002, 541121581, 546084698, 0.37, 0.45, 0.35, 0.19, -0.06, 0.07, 42.22
258003, 541123565, 546086682, -0.03, 0.48, 2.55, 0.06, 0.24, 0.08, 42.23
258004, 541125579, 546088696, 0.02, 0.11, 0.42, -0.29, 0.22, 0.06, 42.23
258005, 541127563, 546090680, -0.20, -0.30, 1.20, -0.05, 0.08, -0.01, 42.21
258006, 541129577, 546092694, -0.17, -0.49, 1.46, 0.09, -0.20, -0.08, 42.19
258007, 541131561, 546094678, 0.31, -0.49, -0.94, 0.15, -0.09, -0.10, 42.24
258008, 541133576, 546096693, -0.04, 0.37, 2.10, 0.19, -0.34, -0.01, 42.24
258009, 541135559, 546098676, 0.57, 0.35, 0.35, 0.23, -0.17, 0.06, 42.27
258010, 541137574, 546100691, -0.01, 0.56, 2.45, 0.08, 0.14, 0.10, 42.24
258011, 541139558, 546102675, 0.23, 0.23, 0.40, -0.24, 0.30, 0.07, 42.20
258012, 541141572, 546104689, -0.42, -0.20, 1.20, -0.03, 0.24, -0.01, 42.21
258013, 541143586, 546106703, -0.11, -0.48, 1.63, 0.07, -0.11, -0.09, 42.20
258014, 541145570, 546108687, 0.21, -0.46, -0.89, 0.05, -0.07, -0.11, 42.21
258015, 541147585, 546110702, -0.05, 0.27, 2.47, 0.21, -0.40, -0.02, 42.20
258016, 541149568, 546112685, 0.52, 0.13, -0.36, 0.33, -0.18, 0.06, 42.22
258017, 541151583, 546114700, -0.05, 0.56, 2.56, 0.08, 0.07, 0.12, 42.24
258018, 541153567, 546116684, 0.40, 0.28, 0.62, -0.23, 0.32, 0.09, 42.24
258019, 541155581, 546118698, -0.45, -0.27, 0.74, -0.08, 0.35, 0.01, 42.24
258020, 541157565, 546120682, 0.10, -0.41, 2.28, 0.10, -0.04, -0.08, 42.27
258021, 541159579, 546122696, 0.06, -0.21, -0.79, 0.05, -0.10, -0.10, 42.26
258022, 541161563, 546124680, -0.10, 0.30, 1.73, 0.29, -0.40, -0.04, 42.21
258023, 541163578, 546126695, 0.43, 0.14, -0.32, 0.34, -0.13, 0.03, 42.24
258024, 541165561, 546128678, -0.04, 0.40, 2.84, -0.02, 0.06, 0.08, 42.24
258025, 541167576, 546130693, 0.47, 0.13, 0.99, -0.26, 0.28, 0.06, 42.21
258026, 541169560, 546132677, -0.49, -0.53, 0.61, -0.10, 0.35, 0.01, 42.21
258027, 541171574, 546134691, 0.27, -0.27, 2.43, 0.22, -0.01, -0.04, 42.24
258028, 541173558, 546136675, -0.19, -0.15, -1.56, 0.13, -0.08, -0.05, 42.25
258029, 541175572, 546138689, -0.04, 0.59, 1.91, 0.32, -0.33, -0.01, 42.24
258030, 541177587, 546140704, 0.49, 0.43, -0.10, 0.25, -0.09, 0.02, 42.22
258031, 541179570, 546142687, 0.02, 0.28, 2.67, -0.11, 0.02, 0.05, 42.22
258032, 541181585, 546144702, 0.28, -0.14, 1.23, -0.26, 0.22, 0.03, 42.22
258033, 541183569, 546146686, -0.41, -0.77, 0.93, -0.11, 0.37, -0.01, 42.23
258034, 541185583, 546148700, 0.20, -0.47, 1.79, 0.25, 0.08, -0.03, 42.22
258035, 541187567, 546150684, -0.23, 0.06, -1.50, 0.21, -0.05, -0.03, 42.22
258036, 541189581, 546152698, 0.17, 0.88, 2.54, 0.39, -0.37, 0.01, 42.21
