dsp clock from the systime interface: 569618195833
sequence_number, timestamp(us), updated_timestamp(us), acc_x, acc_y, acc_z, ang_x, ang_y, ang_z, temperature_C
269764, 564645562, 569608691, 0.03, -0.73, 2.59, 0.22, -0.85, -0.08, 43.92
269765, 564647546, 569610675, 0.88, -0.10, 0.29, 0.34, -0.57, -0.01, 43.84
269766, 564649560, 569612689, 0.27, 0.80, 1.32, 0.14, -0.02, 0.11, 43.85
269767, 564651575, 569614704, -0.43, 0.68, 1.90, -0.04, 0.66, 0.04, 43.90
269768, 564653559, 569616688, -0.29, -0.32, 1.22, -0.21, 0.22, -0.08, 43.91
269769, 564655573, 569618702, -0.27, -0.60, 0.28, -0.18, -0.26, -0.15, 43.90
269770, 564657557, 569620686, 0.18, -0.82, 2.50, 0.26, -0.79, -0.11, 43.85
269771, 564659571, 569622700, 0.56, -0.25, -0.12, 0.32, -0.37, -0.00, 43.84
269772, 564661555, 569624684, 0.19, 0.81, 1.36, 0.13, 0.17, 0.11, 43.87
269773, 564663570, 569626699, 0.20, 0.71, 0.21, 0.13, 0.66, 0.11, 43.86
269774, 564665553, 569628682, -0.37, 0.54, 1.73, -0.09, 0.47, 0.04, 43.86
269775, 564667568, 569630697, -0.24, -0.38, 1.33, -0.10, -0.06, -0.05, 43.89
269776, 564669552, 569632681, -0.01, -0.57, 0.19, -0.11, -0.42, -0.10, 43.88
269777, 564671627, 569634756, 0.33, -0.70, 2.27, 0.31, -0.61, -0.06, 43.90
269778, 564673550, 569636679, 0.39, 0.10, -0.04, 0.22, -0.11, 0.02, 43.85
269779, 564675564, 569638693, 0.18, 0.86, 1.43, 0.11, 0.33, 0.09, 43.82
269780, 564677548, 569640677, 0.05, 0.72, 0.40, 0.11, 0.57, 0.04, 43.85
269781, 564679562, 569642691, -0.44, 0.15, 1.31, -0.12, 0.29, -0.03, 43.88
269782, 564681546, 569644675, -0.17, -0.46, 1.73, -0.07, -0.22, -0.10, 43.89
269783, 564683561, 569646690, -0.05, -0.84, 0.05, -0.09, -0.46, -0.10, 43.90
269784, 564685575, 569648704, 0.31, -0.50, 2.52, 0.33, -0.46, -0.02, 43.88
269785, 564687559, 569650688, 0.28, 0.34, -0.46, 0.20, -0.02, 0.07, 43.87
269786, 564689573, 569652702, 0.13, 0.97, 1.50, 0.19, 0.29, 0.12, 43.87
269787, 564691557, 569654686, -0.03, 0.85, 0.56, 0.08, 0.44, 0.06, 43.86
269788, 564693571, 569656700, -0.29, -0.01, 0.75, -0.16, 0.25, -0.03, 43.86
269789, 564695555, 569658684, -0.03, -0.54, 2.11, -0.07, -0.25, -0.11, 43.87
269790, 564697570, 569660699, 0.09, -1.02, -0.04, -0.10, -0.51, -0.11, 43.87
269791, 564699554, 569662683, 0.36, -0.42, 2.91, 0.30, -0.45, -0.03, 43.86
269792, 564701629, 569664758, 0.25, 0.31, -0.39, 0.18, 0.03, 0.07, 43.89
269793, 564703552, 569666681, -0.05, 0.92, 1.07, 0.27, 0.40, 0.11, 43.88
269794, 564705566, 569668695, -0.16, 0.98, 0.58, 0.08, 0.44, 0.04, 43.91
269795, 564707550, 569670679, -0.25, -0.10, 0.67, -0.15, 0.17, -0.07, 43.89
269796, 564709564, 569672693, -0.04, -0.49, 2.00, -0.07, -0.44, -0.14, 43.90
269797, 564711548, 569674677, 0.29, -0.91, 0.76, -0.06, -0.65, -0.11, 43.91
